종목명,항목,내용
가스기능사,위 자격취득자에 대한 법령상 우대현황,▣ 도시가스사업법 □ 동법 제29조 (안전관리자) ▣ 액화석유가스의 안전관리 및 사업법 □ 동법 시행령 제5조 (안전관리자의 종류 등) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제38조 (원가계산을 할 때 단위당 가격의 기준) ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청)▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조 (국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>)▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등)  ▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제8조 (소방검사자의 자격)  ▣ 삭도 궤도법 □ 동법 시행규칙 제61조 (운전자의 지식·기능 등) ▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등)  
가스기능사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 실업계 고등학교 및 전문대학의 기계공학 또는 화학공학 관련학과③ 시험과목   - 필기 : 1.가스안전관리  2.가스장치 및 기기  3.가스일반   - 실기 : 가스 실무④ 검정방법    - 필기 : 전과목혼합, 객관식 60문항 (60분)    - 실기 : 작업형[동영상(1시간)+배관작업(2시간20분)]⑤ 합격기준 : 100점 만점에 60점 이상 득점자. "
가스기능사,진로 및 전망,"- 고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동   기계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민 생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급 규모가    대형화되고, 가스시설의 복잡·다양화됨에 따라 가스 사고건수가 급증하고 사고 규모   도 대형화되는 추세이다. 한국가스안전공사의 자료에 의하면 가스사고로 인한 인명   피해가 1997년 467명에서 1998년에는 551명으로 증가하였고, 정부의 도시가스 확   대방안으로 인천, 평택인수기지에 이어 통영기지 건설을 추진하는 등 가스사용량 증   가가 예상되어 가스기능사의 인력수요는 증가할 것이다. "
가스기능사,실시기관명,한국산업인력공단 
가스기능사,변천과정,"1974년 고압가스기계기능사2급, 고압가스화학기능사2급, 고압가스취급기능사2급으로 신 설되어 1995년 고압가스기능사로 통합되었고, 1999년 3월 가스기능사로 개정. "
가스기능사,수행직무,"고압가스 제조, 저장 및 공급시설, 용기, 기구 등의 제조 및 수리시설을 시공, 조작, 검 사하기 위한 기술적 사항의 관리, 생산공정에서 가스생산기계 및 장비를 운전하고 충전 하기 위해 예방조치 점검과 고압가스충전용기의 운반, 관리 및 용기 부속품 교체 등의  업무 수행. "
가스기능사,실시기관 홈페이지,http://www.q-net.or.kr
가스기능사,개요,"경제성장과 더불어 산업체로부터 가정에 이르기까지 수요가 증가하고 있는 가스류 제품 은 인화성과 폭발성이 있는 에너지 자원이다. 이에 따라 고압가스와 관련된 생산, 공 정, 시설, 기수의 안전관례에 대한 제도적 개편과 기능인력을 양성하기 위해여 자격제 도 시행. "
가스기능장,개요,"사용량이 증가하는 가스와 대형화 복잡화 다양화되는 가스 설비에 대하여 가스제조 작업 의 기기안전, 취급안전, 제조 안전에 대한 사항과 고압가스 안전관리, 가스사업 및 도 시가스 사업에 대한 지식을 익힘으로써 가스로 인한 폭발, 화재, 독성물질 누출 등의  중대사고(Major Accident)를 예방하기 위하여 각종 규제대책과 제반시설의 검사 등 산 업안전관리를 담당할 전문화된 기능인력을 양성하고자 자격제도 제정. "
가스기능장,위 자격취득자에 대한 법령상 우대현황,▣ 도시가스사업법 □ 동법 제5조 (안전관리자의 자격 등) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준)  ▣ 고등학교 졸업학력 검정고시 규칙   □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격) ▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험)▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등)  ▣ 소방시설 설치 유지 및 안전관리에 관한 법률 □ 동법 시행령 제8조 (소방검사자의 자격) ▣ 기능장려법 □ 동법 제10조 (창업자금 대부) □ 동법 시행령 제3조 (영업의 우선적 인·허가 등)   
가스기능장,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 실업계 고등학교 및 전문대학의 기계공학 또는 화학공학 관련학과③ 시험과목   - 필기 : 가스이론, 가스안전관리, 가스발생장치의 구조 및 원리, 가스생산 및             취급, 공업경영에 관한 사항   - 실기 : 가스 실무④ 검정방법   - 필기 : 객관식 4지 택일형, 60문항(60분)   - 실기 : 필답형(2시간 정도)⑤ 합격기준 : 100점 만점에 60점 이상 득점자. "
가스기능장,진로 및 전망,"- 고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동기   계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급규모가 대   형화되고, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고 규모도    대형화되는 추세이다. 한국가스안전공사의 자료에 의하면 가스사고로 인한 인명피해   가 1997년 467명에서 1998년에는 551명으로 증가하였고, 정부의 도시가스 확대방안으   로 인천, 평택인수기지에 이어 통영기지 건설을 추진하는 등 가스사용량 증가가 예상   되어 가스기능장의 인력수요는 증가할 것이다. "
가스기능장,실시기관명,한국산업인력공단 
가스기능장,실시기관 홈페이지,http://www.q-net.or.kr
가스기능장,수행직무,"고압가스에 관한 최상급 숙련기능을 가지고 산업현장에서 작업관리, 현장 기능자의 지 도 및 감독, 현장훈련, 경영층과 생산층을 유기적으로 결합시켜 주는 현장의 중간 관 리 등의 업무 수행. "
가스기능장,변천과정,"1974년 고압가스화학기능장, 고압가스기계능장으로 신설되어 1995년 고압가스기능장으로 통합되었고, 1999년 3월 가스기능장으로 개정. "
가스기사,개요,"고압가스가 지닌 화학적, 물리적 특성으로 인한 각종 사고로부터 국민의생명과 재산을  보호하고 고압가스의 제조과정에서부터 소비과정에 이르기까지 안전에 대한 규제대책,  각종 가스용기, 기계, 기구 등에 대한 제품검사, 가스취급에 따른 제반시설의 검사 등  고압가스에 관한 안전관리를 실시하기 위하여 자격제도 제정. "
가스기사,변천과정,1983년 가스기사1급으로 신설되어 1999년 3월 가스기사로 개정. 
가스기사,수행직무,"고압가스 및 용기제조의 공정관리, 가스의 사용방법 및 취급요령 등을 위해 예방을 위한 지도 및 감독업무와 저장, 판매, 공급 등의 과정에서 안전관리를 위한 지도 및 감독업 무 수행 "
가스기사,실시기관 홈페이지,http://www.q-net.or.kr
가스기사,실시기관명,한국산업인력공단 
가스기사,진로 및 전망,"- 고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동   기계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급규모가 대   형화되고 있으며, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고   규모도 대형화되는 추세이다. 또한 가스설비의 경우 유해·위험물질을 다량으로 취급   할 뿐만아니라 복잡하고 정밀한 장치나 설비가 자동제어되는 연속공정으로 거대 시스   템화 되어 있어 이들 설비의 잠재위험요소를 확인·평가하고 그 위험을 제거하거나    통제할 수 있는 전문인력의 필요성은 계속 증가할 것이다. 또한 정부에서는 도시가스   의 공급비율을 2002년까지 61.9%로 올릴 예정으로 평택, 인천에 이어 통영 인수기지   를 건설하고 있다. 이에 따라 가스의 사용량은 증가하고 이에 따라 가스기사의 인력   수요는 증가할 것이다. "
가스기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학과 전문대학의 화학공학, 가스냉동학, 가스산업학 관련학과③ 시험과목   - 필기     1. 가스유체역학    2. 연소공학    3. 가스설비    4. 가스안전관리    5. 가스계측기기   - 실기 : 가스 실무④ 검정방법   - 필기 : 객관식 4지 택일형 과목당 20문항(과목당 30분)   - 실기 : 복합형[필답형(1시간) + 작업형(3시간 30분정도)]⑤ 합격기준   - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상   - 실기 : 100점을 만점으로 하여 60점 이상 "
가스기사,위 자격취득자에 대한 법령상 우대현황,▣ 연구실안전환경조성에 관한 법률 □ 동법 시행령 제7조(안전점검의 실시시기 등)  □ 동법 시행령 제10조(정밀안전진단을 실시할 수 있는 자의 자격)▣ 소방기본법 □ 동법 시행규칙 제12조 (화재조사전담부서의 설치·운영 등) ▣ 도시가스사업법 □ 동법 제29조 (안전관리자)  □ 동법 시행규칙 제47조(가스사용시설 안전관리업무대행자의 자격) ▣ 액화석유가스의 안전관리 및 사업법 □ 동법 시행령 제5조 (안전관리자의 종류 등) ▣ 에너지이용합리화법 □ 동법 시행령 제21조 (에너지절약전문기업의 등록 등)  ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준)▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청)  ▣ 국외유학에 관한 규정 □ 동규정 제5조 (자비유학자격) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등)▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험)▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률  □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 기술개발촉진법  □ 동법 시행령 제15조 (특정연구개발사업 참여기관 등의 기준)▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제106조 (계약심의위원회의 구성)  □ 동법 시행령 제8조 (소방검사자의 자격)  ▣ 부품·소재전문기업 등의 육성에 관한 특별조치법 □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등) ▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등)  
가스기술사,진로 및 전망,"- 고압가스 제조·저장·사용 및 판매업체에 취업할 수 있으며, 이밖에 한국가스공사, 한   국가스안전공사 및 관련 연구소로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수습규모가 대   형화되고, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고 규모도    대형화되는 추세이다. 또한 가스설비의 경우 유해·위험물질을 다량으로 취급할 뿐만    아니라 복잡하고 정밀한 장치나 설비가 자동제어되는 연속공정으로 거대 시스템화 되   어 있어 이들 설비의 잠재위험요소를 확인·평가하고 그 위험을 제거하거나 통제할    수 있는 전문인력의 필요성은 계속 증가할 것이다. 또한 정부에서는 도시가스의 공   급 비율을 2002년까지 61.9%로 올릴 예정으로 평택, 인천에 이어 통영인수기지를 건   설하고 있다. 이에 따라 가스의 사용량은 증가하고 이에 따라 가스기술사의 인력수요   는 증가할 것이다. "
가스기술사,실시기관명,한국산업인력공단 
가스기술사,실시기관 홈페이지,http://www.q-net.or.kr
가스기술사,수행직무,"가스분야에 관한 고도의 전문지식과 실무경험에 입각한 계획, 연구, 설계, 분석, 시험,  운영, 시공, 평가 또는 이에 관한 지도, 감리등의 기술 업무 수행 "
가스기술사,변천과정,1983년 안전관리기술사(가스)로 신설되어 1991년 가스기술사로 개정. 
가스기술사,개요,"사용량이 점차 증가하고 대형화 복잡화 다양화되는 가스 설비에 대하여 가스제조 작업 의 기기안전, 취급안전, 제조 안전에 대한 사항과 고압가스 안전관리, 가스사업 및 도 시가스 사업에 대한 지식을 익힘으로써 가스로 인한 폭발, 화재, 독성물질 누출 등의  중대사고(Major Accident)를 예방하기 위하여 각종 규제대책과 제반시설의 검사 등 산 업안전관리를 담당할 전문인력을 양성하고자 자격제도 제정. "
가스기술사,위 자격취득자에 대한 법령상 우대현황,▣ 연구실안전환경조성에 관한 법률 □ 동법 시행령 제10조 (정밀안전진단을 실시할 수 있는 자의 자격) ▣ 도시가스사업법 □ 동법 제29조 (안전관리자)  □ 동법 시행규칙 제47조(가스사용시설 안전관리업무대행자의 자격) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준)   ▣ 조세특례제한법 □ 동법 시행령 제5조 (창업중소기업 등에 대한 세액감면) ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격)   ▣ 과학기술인공제회법 □ 동법 제6조 (회원의 자격) ▣ 국가과학기술경쟁력강화를 위한 이공계지원특별법 □ 동법 제16조 (기업의 이공계인력의 활용지원) ▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등) ▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률  □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 지방자치법 □ 동법 시행령 제26조 (감사청구심의회) ▣ 소방시설 설치 유지 및 안전관리에 관한 법률 □ 동법 시행령 제106조 (계약심의위원회의 구성) ▣ 공원구역내 광물채굴허가 사무처리규칙 □ 동규칙 제6조 (허가절차 등)  ▣ 기술이전촉진법 □ 동법 시행령 제16조 (기술거래사의 자격 등) ▣ 방위사업법 □ 동법 시행령 제5조 (옴부즈만의 구성·자격기준 및 임기 등)▣ 부품·소재전문기업 등의 육성에 관한 특별조치법  □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등)▣ 공직자 윤리법 □ 동법 시행령 제34조 (취업승인) ▣ 기간제 및 단시간근로자 보호 등에 관한 법률 □ 동법 시행령 제3조 (기간제근로자 사용기간 제한의 예외)▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제8조 (소방검사자의 자격)  ▣ 중소기업창업지원법 □ 동법 시행령 제8조 (창업투자회사의 등록요건) ▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등)  
가스기술사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학의 기계공학, 화학공학 가스냉동학, 가스산업학               관련학과③ 시험과목 : 안전관리일반(사고원인 분석, 대책, 점검 및 조사방법), 산업안전공학,               가스관계 및 산업안전관계법규, 고압가스설계와 시공 및 가스공업의               안전운영에 관한 계획 및 관리와 조사, 기타 안전에 관한 사항. ④ 검정방법   - 필기 : 단답형 및 주관식 논술형(매교시당 100분 총 400분)   - 면접 : 구술형 면접시험(30분 정도)⑤ 합격기준 : 100점을 만점에 60점 이상 "
가스산업기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학과 전문대학의 화학공학, 가스냉동학, 가스산업학 관련학과③ 훈련기관 : 한국가스안전공사에서 매년 1회 실시하는 사용시설안전관리원,                운반책임자, 안전관리원 및 시공관리자 등과 같은 안전관리자 교육과정 ④ 시험과목   - 필기 :    1. 연소공학    2. 가스설비    3. 가스안전관리    4. 가스계측기기   - 실기 : 가스실무⑤ 검정방법   - 필기 : 객관식 4지 택일형 과목당 20문항(과목당 30분)   - 실기 : 복합형[필답형(1시간) + 작업형(3시간 정도)]⑥ 합격기준 :    - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상.   - 실기 : 100점을 만점으로 하여 60점 이상. "
